,Company,Estimation Date,Close,Vol,LPPLS Confidence
0,Shopify,2018-10-18,134.78,1595355,0.16483516483516483
24,Shopify,2018-09-14,154.77,1247034,101
25,Shopify,2018-09-13,155.5,1259799,101
1,Shopify,2018-10-17,137.37,3149047,0.18681318681318682
2,Shopify,2018-10-16,145.83,1391090,0.17582417582417584
3,Shopify,2018-10-15,135.7,1114240,0.16483516483516483
4,Shopify,2018-10-12,135.2,2034632,0.17582417582417584
5,Shopify,2018-10-11,128.39,2076005,0.17582417582417584
6,Shopify,2018-10-10,130.1,2686349,0.14285714285714285
7,Shopify,2018-10-09,140.22,1055758,0.15384615384615385
8,Shopify,2018-10-08,140.49,1242025,0.10989010989010989
9,Shopify,2018-10-05,145.6,1691341,0.08791208791208792
10,Shopify,2018-10-04,148.91,1929924,0.054945054945054944
11,Shopify,2018-10-03,160.2,909629,0.03296703296703297
12,Shopify,2018-10-02,156.6,1566506,0.0
13,Shopify,2018-10-01,163.42,868440,0.0
14,Shopify,2018-09-28,164.46,789377,0.0
15,Shopify,2018-09-27,164.45,604290,0.0
16,Shopify,2018-09-26,162.0,860636,0.01098901098901099
17,Shopify,2018-09-25,161.11,1579839,0.0
18,Shopify,2018-09-24,162.18,892984,0.0
19,Shopify,2018-09-21,161.52,2146356,0.01098901098901099
20,Shopify,2018-09-20,167.17,1378269,0.01098901098901099
21,Shopify,2018-09-19,164.6,1637795,0.01098901098901099
22,Shopify,2018-09-18,162.28,1706604,0.0
23,Shopify,2018-09-17,153.63,1654245,101
26,Shopify,2018-09-12,153.13,1711168,0.0
27,Shopify,2018-09-11,147.76,1321781,0.0
28,Shopify,2018-09-10,142.13,1062251,0.0
29,Shopify,2018-09-07,140.64,2039504,0.0
30,Shopify,2018-09-06,134.13,1825445,0.0
31,Shopify,2018-09-05,139.97,2362643,0.0
32,Shopify,2018-09-04,146.34,912133,0.0
33,Shopify,2018-08-31,145.67,669084,0.0
34,Shopify,2018-08-30,144.81,812326,0.04395604395604396
35,Shopify,2018-08-29,145.15,953275,0.054945054945054944
36,Shopify,2018-08-28,145.0,1289460,0.07692307692307693
37,Shopify,2018-08-27,144.04,1386366,101
38,Shopify,2018-08-24,140.58,1213143,101
39,Shopify,2018-08-23,137.49,1041995,0.24175824175824176
40,Shopify,2018-08-22,137.63,1265188,101
41,Shopify,2018-08-21,133.44,1425409,0.21978021978021978
42,Shopify,2018-08-20,135.97,1517129,0.25274725274725274
43,Shopify,2018-08-17,137.19,1258852,0.25274725274725274
44,Shopify,2018-08-16,139.16,921012,0.26373626373626374
45,Shopify,2018-08-15,138.92,1820278,0.2857142857142857
46,Shopify,2018-08-14,144.38,1228427,0.26373626373626374
47,Shopify,2018-08-13,142.87,1284058,0.26373626373626374
48,Shopify,2018-08-10,149.22,1322480,0.26373626373626374
49,Shopify,2018-08-09,146.44,875245,0.26373626373626374
50,Shopify,2018-08-08,142.7,821812,0.26373626373626374
